Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
12.531	26	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	27	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	27	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	28	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	28	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	29	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	29	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	10	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	10	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	5	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	5	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	0	0	10	LastDelay	0.0310175	31017.5	1	1
12.531	0	0	10	FullDelay	0.0310175	31017.5	1	1
14.5098	19	0	11	LastDelay	0.00979812	9798.12	1	0
14.5098	19	0	11	FullDelay	0.00979812	9798.12	1	0
14.5146	3	0	11	LastDelay	0.0146259	14625.9	1	1
14.5146	3	0	11	FullDelay	0.0146259	14625.9	1	1
14.527	7	0	11	LastDelay	0.0270332	27033.2	1	1
14.527	7	0	11	FullDelay	0.0270332	27033.2	1	1
14.527	8	0	11	LastDelay	0.0270332	27033.2	1	1
14.527	8	0	11	FullDelay	0.0270332	27033.2	1	1
14.527	13	0	11	LastDelay	0.0270332	27033.2	1	1
14.527	13	0	11	FullDelay	0.0270332	27033.2	1	1
14.527	15	0	11	LastDelay	0.0270332	27033.2	1	1
14.527	15	0	11	FullDelay	0.0270332	27033.2	1	1
14.527	17	0	11	LastDelay	0.0270332	27033.2	1	1
14.527	17	0	11	FullDelay	0.0270332	27033.2	1	1
14.527	21	0	11	LastDelay	0.0270332	27033.2	1	1
14.527	21	0	11	FullDelay	0.0270332	27033.2	1	1
14.527	2	0	11	LastDelay	0.0270332	27033.2	1	1
14.527	2	0	11	FullDelay	0.0270332	27033.2	1	1
14.527	12	0	11	LastDelay	0.0270332	27033.2	1	1
14.527	12	0	11	FullDelay	0.0270332	27033.2	1	1
14.527	16	0	11	LastDelay	0.0270332	27033.2	1	1
14.527	16	0	11	FullDelay	0.0270332	27033.2	1	1
